id;activo_fijo;marca;procesador;office;sistema_operativo;disco_duro;ram;observaciones;img_url;img_url_content_type;tipo;windowss;precio
1;optical lime concept;secondary SMS;open-source;Locks Licensed Principal;navigating Lek redundant;Stravenue;salmon Producer Principal;Wooden Small Cotton Chicken;../fake-data/blob/hipster.png;image/png;ESCRITORIO;drive parsing Metrics;high-level
2;British Indian Ocean Territory (Chagos Archipelago) RSS open system;Dynamic Saudi Riyal Forges;invoice;CSS;B2C mesh applications;Berkshire New York facilitate;groupware Garden protocol;cohesive;../fake-data/blob/hipster.png;image/png;ESCRITORIO;Home Loan Account Cotton;Savings Account
3;AI mint green;Shoes multi-byte;quantifying;Savings Account;input;Customizable;deposit Car;Assimilated driver initiative;../fake-data/blob/hipster.png;image/png;ESCRITORIO;deposit Handmade Granite Ball;Tuna
4;deposit global transmit;networks compressing Facilitator;Future-proofed real-time Streets;Bermuda Tasty;Decentralized Usability;Outdoors JBOD;strategize;Bond Markets Units European Composite Unit (EURCO);../fake-data/blob/hipster.png;image/png;ESCRITORIO;Soft hacking generating;bypass Money Market Account
5;Cheese;Home Loan Account Pizza Customer;Personal Loan Account Facilitator Concrete;Clothing ROI;Oman Dynamic;override Tunisian Dinar;uniform;systems Steel;../fake-data/blob/hipster.png;image/png;ESCRITORIO;ability methodologies eco-centric;Bedfordshire algorithm mindshare
6;Creative transmitting Response;Incredible Corporate Human;extranet Gorgeous Metal Table;architectures composite Garden;purple Chile Accountability;primary Unbranded Auto Loan Account;Toys sensor;Sri Lanka Rupee Incredible Granite Chair Cyprus;../fake-data/blob/hipster.png;image/png;PORTATIL;Handmade Lake;Solomon Islands Dollar attitude-oriented
7;Awesome Corporate transmit;Soft;cross-platform synthesizing;encompassing Buckinghamshire leverage;Group USB Cotton;Plastic B2C;transmitting Florida;Towels US Dollar;../fake-data/blob/hipster.png;image/png;ESCRITORIO;infomediaries backing up Avon;functionalities synthesize Small
8;digital Soap transform;Administrator repurpose;Adaptive back up;attitude-oriented Table intangible;pink Awesome Hat;Keyboard;Factors;sky blue withdrawal;../fake-data/blob/hipster.png;image/png;PORTATIL;AGP HDD responsive;Belize Dollar non-volatile
9;payment;Chief impactful;Web Granite Borders;cutting-edge input;back up Borders Arkansas;functionalities Refined Fresh Hat Salad;Polarised;program Avon Court;../fake-data/blob/hipster.png;image/png;PORTATIL;Clothing;experiences mobile
10;Planner Central Rubber;protocol;Investor innovate open-source;IB;Bedfordshire;Outdoors cross-platform;maximize;invoice executive;../fake-data/blob/hipster.png;image/png;PORTATIL;Kina Investment Account West Virginia;Checking Account
